Review,Score
"game nya seru asik 👍🏻. hero nya banyak,skin nya juga bagus²,dan event nya menarik. game play nya juga seru, terus banyak pilihan map ny. sayangnya kalau lagi main suka ngelag padahal internet wifi lancar😅 dan sifat player yang kurang sopan dan suka nge judge player lain 😔 Tapi kalau untuk seru²an Mabar battle arena MLBB cocok untuk Mabar sama teman 👍🏻😄",5
"oke lah, device kayak saya masih lancar jaya, tapi kalo bisa saya pengen mode offline nya di update, kalo mode offline Hero kebuka semua dan pelatihan ai mode offline di buka untuk semua device, untuk sekarang oke lah, tapi mohon di pertimbangkan untuk update mode offline, itu saja terimakasih",5
"game ini sangat bagus, tapi saya hanya mau mengatakan satu hal yaitu tolong perbaiki bug jaringan karena waktu aku main jaringan wifi aku sudah Bagus tapi saat main tuh tiba tiba jelek pdhl jaringan aku bagus bagus aja jadi tolong diperbaiki yah",5
"walau pun saya terkadang kesal dengan lost streak tapi jujur saya juga masih ketagihan dengan game ini, ga bisa move on gitu dari game ini.. ya walaupun ada beberapa bug nya contohnya saat saya bermain di brawl saya tidak dapat membeli item tapi ketika saya mati item² tersebut langsung bisa di beli jadi saya harap bisa di perbaiki",5
"tolong perbaiki sinyal, karna pas belum pertandingan sinyal saya masih baik2 saja, namun pas sudah mulai pertandingan sinyal mulai kuning bahkan sampai merah, padhal kouta saya banyak wifi jga ada.. di saat tdk bertanding sinyal bagus tidak lag namun saat pertandingan sinyal jelek lg. tolong diperbaiki",4
"entah emang dari device gw, bug atau apa itu tapi ini udah dari season kemarin² belum ada di fix juga, masalahnya itu ada di hero bened misal kalo kita lagi nge charge pasif nya terus kalo dalam proses nge charge nya itu atau kita lagi neken basic attack nya bened nya kena cc si pasif nya itu bakal ga bisa di keluarin walau udah penuh terus ga bisa pake skill juga kalo situasinya gitu, dan normalnya lagi kalo si pasif nya itu udah ga ngecharge sendiri lagi atau turun sendiri",4
"Mobile legend Memiliki Gameplay yang seru, desain yang menarik dan grafik yang bagus, cman ada kekurangan nya 🗿 musuh yang terlalu kuat, tim nya dark sisteam, dll 🗿 udh itu aja sekian terima gaji✋🗿🤚",5
"Gamenya bagus,tapi kadang ada bug kaya jaringan bagus tapi kok pas main lag terus yah, padahal penyimpanan masih kosong. Terus kadang matchmaking nya lama bnget. Udah sih itu aja",5
hii moonton.. tidak bisakah memisahkan player solo dengan party?? setidaknya ini akan bisa mengurangi ketidak seimbangan dalam game yang sering terjadi. sedari awal rilis sampai sekarang masa tidak ada sistem pemisahan tersebut. dan setidaknya ini juga bisa mengurangi ketidak puasan para playernya. terima kasih.,4
makasih udah banyak skin gratisan nya. buat hero masha tolong di revamp ulang ke yang dulu dong yang sekarang jadi makin sulit buat adu mekaniknya jadi hero yang gak kepake mau jadi tank ga bisa terlalu lambat pemulihan nya skil 1 nya cuma bertahan sebentar padahal dlu saya user masha,5
geme nya bagus layak di main kan di hp ham3 keatas saya ingin ber tanya kenapa kalo saya main mau naik ke epik 2 *4 pasti musuh nya jago² kira² kenapa ya terus saya mau serang musuh padahal udah saya pencet tombol basmiketik tapi gak kena musuh tolong ya monton untuk apdet selanjutnya di perhatikan lagi .,5
"game nya bagus, dan grafiknya juga bagus, dan gamenya juga kadang seru kadang juga ga seru kalau tergantung mood, tapi, saran saya, hilangin dark system nya dong. sekian dari saya.",4
"jujur menurut saya pribadi, ini game bagus memang menantang kita untuk fokus antar kerjasama tim, dan juga kadang walau kita kalah kita diberi kekalahan untuk meng koreksi kita kurang nya dimana selama di pertandingan",5
Game nya bagus banget dari heronya dll tapi tolong kenapa pas lagi main tiba tiba sinyal mendadak hilang terus pas main rank seringnya kalah jadi tolong diperbaiki dan untuk player terus semangat siapa tau bisa ikut kejuaraan dunia tapi jangan semangat main terus semangat juga ibadahnya dah mungkin hanya ini assalamualaikum,5
"Sistem ga jelas, gw main solo dapet tim rank jauh dibawah gw, sedangkan tim musuh full high tier, mending sistemnya HOK, menang kalah ada rank pelindung, pantesan dapet rating 3.9, Mobile legend hama, game rusak perusakk mental, sengaja ngasih rating 5 biar muncul diatas, #mlbbsistemrusak",5
"buat pihak MLBB. mohon efek opening dari skin Hiro nya bukan hanya pas di beli aja, tapi efek skin nya juga mohon di terapkan di dalam lobby dan matching biar seru dan bisa adu gengsi antara efek skin hiro musuh dan Hiro kita sendiri, dan juga pada saat di lobby mohon di kasih efek dari skin hiro nya bukan macam foto profil dan rank doang, semoga buat moonton bisa menerbitkan fitur fitur kayak gini. soalnya ini penting banget bagi kami, semoga bisa direspon dan di buatkan fitur ini terimakasih",5
"assalamualaikum gamenya sangat seru,saya sangat suka memainkan nya,yaaaa walaupun bisa membuat Saya sedikit emosi karena rank saya naik turun naik turun,tapi itu yang membuat game tersebut menantang kuharap kedepannya ada event baru yang takkalah menarik mungkin hanya ini pendapat saya semoga kedepannya lancar terus dan orang yang bermain makin banyak dan bisa masukke pasar cina assalamualaikum warahmatullahi wabarakatuh.!!!!!",5
"Coba kollab sama demon salayers karena update terus tapi gak ada yang berubah dark sistem masih ada tim beban masih ada musuh mantan immortal masih ada. pokoknya masih ada yang harus dibenerin walaupun bintangnya 5 jangan senang dulu, kan masih ada yang harus diperbaiki bintang 5 bukan berarti sudah bagus tapi juga harus diperbaiki lagi jadi makasih moonton sudah buat game yang seru ini pokoknya ml NO. 1 deh game lain gak ada yang bisa gantiin memang seru banget jadi sekian makasih",5
mohon pihak moonton tolong perbaikan sistem jaringan dalam gamenya dulu. masa setiap ketemu musuh yang ramai selalu saja lag dan patah patah jaringanya pada hal pin dan jaringan internetnya g masalah bagus bagus aja. jangan cuman adain event terus up date Hero terus tapi masalah lag dan patah patah saat dalam game tidak pernah ada perubahan dan perbaikan masih saja bermalah dan pertemukan lawan yang sama levelnya.,5
"oke mantap, namun satu masukan, saat solo rank di utamakan dengan lawan yang sepadan, tidak dibawahnya apalagi di atasnya. maka akan lebih ballance. lwbih ditingkatkan untuk penyamaan lawan",5
"LOVEE BANGETTT💓💓. gamenya seru bangett, aku suka, mudah dimaininn. terus banyak orang orang juga di sini, jadi bisa main sama siapapunn. terus gamenya asikk. banyak hero hero yang lucu, terus ada juga yang kerenn. terus aku pengen banget skinnyaa, tapi harus top up. tapi kata mama aku, aku ga dibolehin top up duluu. kapan kapan nanti dibolehin. love mobile legends bang bang💓",5
"ini game sangat bagus,dan ini adalah game MOBA terbaik,tapi, tolong lah min perbaiki sistem nya buat orang seperti saya yang main nya solo ngak ada partyan, selalu dapet tim drak sistem jadi kan saya ngestuck di legend, pengen ngerasain myhtic kayak temen"",pliss yaa minn kasih keringanan buat player solo",5
meskipun dapet tim kaya binatang tapi game ini cukup menghibur harusnya monton memberikan kepuasan bermain agar player yang stak di Reng tertentu bisa bermain dengan rank yang sedikit lebih tinggi dari Reng milikya dan saya ingin bermain dengan aman dan nyaman,5
"bayak player yg gak bisa di ajak convoy terlalu banyak tingkah , suka lapor² kalo ada yg afk padahal masalah jaringan gak stabil biar menang afk tapi tetap di lapor kan sampai kita ajukan banding gak di kembalikan juga kredit score nya.. maka sekali lapor sampai 6 yg hilang.performa game buruk laporan bug gak di perhatikan drngn baik. coba kalo ada laporan di periksa lah baik² dulu afk bukan karna gak bisa main tapi kendala game yg terlalu memakai banyak jaringan .login pun butuh 1 jam.",5
sengaja kasih bintang 5 biar di atas.. monton tolong lah jngn terlalu bnyk fitur buat yang hp nya ram nya dikit . ga bisa main ml. dan yap ketika sedang war besar tiba tiba kembali sendiri dan kadang tidak gerak hero nya.trs hrs kembali lgi itu pun lama jdi klh . sering saya alami hero nya ga gerak hbis di upload bukan nya makin bagus tpi jaringan nya bikin emosi padahal sinyl ku bagus bagus aja..sering dapat tim drk sistem. menang sekali kalah ber kali-kali. musuhnya dapat tim jago hm,5
aku menyukai game mobile lejen karena menguji kemampuan dan bersenang-senang bersama sahabat dan yg paling menarik nya game mobile lejen banyak skin dan membuat hari hari makin seru dan menikmati berperang melawan musuh yg lumayan susah yg mau mabar sama aku ini nama ku. MY OBITO,5
"woi montoon!!, kalau pengurangan kredit skor jangan terlalu banyak lah, masa kita cmn pergi sebentar karena di suruh ambil barang langsung di bilang AFK, cuman sebentar loh montoon cuman sebentar, pengurangan credit score nya banyak banget lagi, gpp lah ya kalau banyak tapi kenaikan credit skor nya juga banyak, udah lah pengurangan credit skor nya enam sedangkan kenaikan credit skor nya cuman satu, ayolah montoon, Tambah kek kenaikan nya jadi tiga atau dua aja lah minimal, kasihan kita montoon",4
"saya kasih bintang 5 biar moonton baca ya, saya Uda main game ini dari lama pake akun moonton. pas saya mau coba login pake hp baru malah di suruh verifikasi email padahal email saya Uda ga aktif.kenapa harus mempersulit player. tolong ya di hapus aja itu sistem verifikasi email, saya ga bisa login jadinya padahal uang saya Uda habis banyak untuk game ini tapi developer nya ga mikir",5
"Kenapa setelah aku selesai memenangkan pertandingan,tiba tiba jaringannya putus. Dan aku coba masuk kembali lagi tidak bisa sama sekali Loading terus. Tolong diperbaiki trimakasih.",4
"aku suka main mobile legends, grafiknya yang bagus effectnya juga bagus banget, main ml seru sambil nyetel lagu fav, biar kerasa vibesnya, main ml seru kalau sama team yang tepat, walaupun kadang ketemu player toxic yang ngeganggu pemain lainnya, semoga berkurang yang kaya gitunya ❤️‍🔥",5
"gamenya mempunyai 3 map yaitu classic rank dan brawl, dan mempunyai banyak skin dan Hero salah satu skin yang saya suka adalah skin collab Naruto dengan mlbb yaitu gaara. bisa didapatkan dengan gratis tetapi event itu sudah menghilang atau sudah selesai. bagi moonton adakan event menarik seperti ini lagi ya",5
"jujur ini game sangat seru untuk mengesi waktu kosong atau pun saat bosan, tapi jangan main game ini saat kamu lagi pusing/stres karena ini game bisa membuat mu kesal dan senang, ada banyak skin dan hero yang bagus"" dan msnarik, dan juga ada banyak skin gratis dan hero gratis, saya sangat suka dengan game ini karena bisa menghibur waktu kosong saya. sekian terimakasih (ws 4× los 17× mantap intinyaa",5
game yg bagus tapi sayang kadang player pemula pun kadang sudah harus berhadapan dengan lawan yg tidak seimbang...sebaiknya untuk pemula tuh lawanya yg setara juga dan moonton ini blum bisa ngahandel player yg curang mah banyak yg main tidak fair,5
"game nya bagus, dan grafik nya juga mantap, tapi tolong moonton kasih fitur maju mundur in replay dong moonton plisss, udah sih untuk udahan saya segitu saja, Untuk sisanya sudah ok. 👍👍👍👍",5
"game nya lumayan gampang karena mekanisme nya mudah di mengerti, saya baru bermain sekitar 2 bulan lalu dan rank saya sudah mencapai rank mythic glory. tolong ubah fitur pilih lane agar bisa memilih satu saja, alasan adalah jika dipaksa memilih 2 Lane bisa mengurangi populasi pemain 🙏",5
"aku kasih bintang 4 karna selalu ngelag padahal udh pake wifi+internet biasa,tapi anehnya 201 ms masi bisa main mohon diperbaiki dan cari sesuatu yg bisa bikin begini di mobilegends mohon respon nya karna sangat menyusahkan pemain game ini🙏",4
"berdasarkan hasil survei di dalam game, banyak bug yang saya alami di dalam game, seperti fitur donwload data yang terlalu lama dan terlalu banyak memakan ruang penyimpanan di ponsel, bug pada batlle field, bug pada machtmaking, bug pada hero tertentu, bug pada skin tertentu (seperti penampilan,efek,detail skin,dan harga skin). bug pada event, setelah itu tolong diperketatkan hukuman pada player yang melanggar aturan pada dalam pertandingan, seperti AFK, menggunakan Cheat, dll!",4
"secara keseluruhan movementnya oke, smooth lah, skin nya juga yeah bagus walau ada beberapa yang tipis, namun pemilihan role ini kadang ada bagus sama ngga nya, secara pandangan sih pemilihan role itu udah bagus bisa nyesuain tapi tolong moonton biar di telaah lagi",4
"gamenya sangat menarik tetapi sayangnya game ini gk bisa buat mode kreatif, dan gak bisa download ff lalu gamenya gk bisa download tik tok ,dan juga gak bisa nonton YouTube short tapi gamenya sangat halal karena ad Khaled tetapi ada satu hero yang sangat tamfan yaitu balmond karena itu kasih dia kolap sama sanrio karena ia sangat kawai ,udh itu aja kalo ada yang kurang nantik aku kasih lagi",5
Mantapp baguus. Game strategin5 vs 5. kalo bisa diamondnya lebih dimurahkan. Dan cara dapat skin kakap lebih dipermudah. jangan terlalu serimg dark system biar nggak kesel pemainnya!...,5
game rusak mactmaking ampas saran segi mactmaking dibenahi kembali serta beberapa detail kecil di lakukan peninjauan kembali sedikit saran kalo bisa segi mactmaking solo dan party dibedakan dikarenakan pengaruh di in game nya dan segi dalam hal roamer khususnya diperhatikan karena sangat lah mahal item buat roamer maka itu sekarang roamer beralih ke damage Karena segi item sangat lah mahal buat roamer tank dibandingkan roamer damage macam saber nata,5
"game nya baguss banget,jadi aku bisa bermain dengan kakak saya saat main dan walaupun kalah saat bertanding tapi bintang di rank jadi naik jadi malah semakin asik saat main dan juga pas dengan rank,kalo rank nya dah tinggi pasti penuh tantangan yang menyenangkan👍👍👍👍👍",5
game nya bagus tetapi saya tidak tahu cara agar karakter yg sudah dibeli bisa dimainkan! dan juga setelah dibeli setelah saya coba di rank tidak bisa dan ada tulisan harus main di classic sebanyak 2 kali namun setelah saya memainkan mode classic malah karakternya tidak ada jadi mohon dibetulkan atau beri tahu saya jika saya tidak tahu,4
"game ini sangat seru,,, tapi sayang tim moonton dengan mudah ny menanggapi laporan pemain lain yg kadang mengada2. dan saya selalu Player merasa sangat dirugikan karna kredit skor selalu di kurangi banyak, karna laporan Player yg tidak bertanggungjawab, klo gini cara nya kapan saya bisa main rank.....??? klo memang gini layanan moonton, saya login, saya laporin semua tim yg main biar yg lain jg ngk bisa main rank",4
"game nya bagus sih ,, cuma sering ngelag kalau pas war & yang paling buruk sering sekali saya di beri team lawan yg sangat pro & bagus main nya . sedang kan teman team saya solo player dan biasa biasa aja. tentu nya saya mengalami kekalahan yang sangat fatal .tolong sesuaikan lawan kami sebagai solo player . agar pengalaman bermain menyenangkan dan adil. terima kasih",5
"Halo Moonton, saya dan banyak teman-teman di Indonesia sangat menantikan kehadiran MLBB Lite. Dengan adanya versi Lite, pemain dengan HP low-end bisa ikut merasakan pengalaman bermain MLBB dengan lancar tanpa kendala lag. Semoga MLBB Lite bisa segera hadir di Indonesia. Terima kasih atas perhatiannya.",5
